,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,Job Title_Cntrl Office Security Officer,Job Title_K-8 Counseling Specialist
237,2014,70020,0,0,0,4,1,0,5,4,0,0,0,0,0,0,0,4,4,4,609680,PAYTON HS,Walter Payton College Preparatory High School,901,4,0.0044,58,0.0644,309,0.343,0,0
238,2010,70070,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,609754,CHICAGO MILITARY HS,Chicago Mil Acad HS,502,2,0.00398406374502,32,0.063745019920319,402,0.800796812749004,0,0
239,2011,70070,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,2,2,2,609754,CHICAGO MILITARY HS,Chicago Military Academy High School,482,3,0.0062,27,0.056,442,0.917,0,0
240,2012,70070,0,0,0,3,2,0,5,5,0,0,0,1,0,0,0,2,3,2,609754,CHICAGO MILITARY HS,Chicago Military Academy High School,466,5,0.0107,31,0.0665,419,0.8991,0,0
241,2013,70070,0,0,0,2,2,0,4,4,0,0,0,1,0,0,0,2,3,3,609754,CHICAGO MILITARY HS,Chicago Military Academy High School,405,7,0.017283950617284,35,0.08641975308642,358,0.883950617283951,0,0
242,2014,70070,0,0,0,2,2,0,4,4,0,0,0,1,0,0,0,2,3,3,609754,CHICAGO MILITARY HS,Chicago Military Academy High School,395,8,0.0203,40,0.1013,375,0.9494,0,0
243,2010,22041,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,610524,ALCOTT HS,Alcott HS,177,5,0.028248587570622,46,0.259887005649717,135,0.76271186440678,0,0
244,2011,22041,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,3,4,3,610524,ALCOTT HS,Alcott High School for the Humanities,232,9,0.0388,69,0.2974,184,0.7931,0,0
245,2012,22041,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,3,4,4,610524,ALCOTT HS,Alcott High School for the Humanities,269,9,0.0335,92,0.342,211,0.7844,0,0
246,2013,22041,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,3,3,3,610524,ALCOTT HS,Alcott High School for the Humanities,281,12,0.04270462633452,86,0.306049822064057,227,0.807829181494662,0,0
247,2014,22041,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,3,3,3,610524,ALCOTT HS,Alcott High School for the Humanities,274,18,0.0657,66,0.2409,219,0.7993,0,0
248,2010,23391,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,609769,GRAHAM HS,Graham A.,483,42,0.086956521739131,57,0.118012422360248,463,0.958592132505176,0,0
249,2011,23391,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,609769,GRAHAM HS,Ray Graham Training Center High School,139,36,0.259,139,1,131,0.9424,0,0
250,2012,23391,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,609769,GRAHAM HS,Ray Graham Training Center High School,116,32,0.2759,116,1,109,0.9397,0,0
251,2013,23391,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,609769,GRAHAM HS,Ray Graham Training Center High School,123,40,0.32520325203252,123,1,107,0.869918699186992,0,0
252,2014,23391,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,609769,GRAHAM HS,Ray Graham Training Center High School,133,32,0.2406,133,1,122,0.9173,0,0
